Integrated Physics and Chemistry–Unit 3: Matter and Change,,,,,,,,,,,
"Resource for assignment: ""Experiment: Graphing Changes of State""",,,,,,,,,,,
"Copyright © 2008 OdysseyWare, Inc.",,,,,,,,,,,
,,,,,,,,,,,
"Data Sheet Example for ""Experiment: Recording Changes of State""",,,,,,,,,,,
,,,,,,,,,,,
Time (sec),Temp. (°C),Time (sec),Temp. (°C),Time (sec),Temp. (°C),Time (sec),Temp. (°C),Time (sec),Temp. (°C),,
0,-0.5,750,3,1500,27.5,2250,55,3000,83.5,,
30,0,780,3,1530,28,2280,56,3030,85,,
60,0,810,3,1560,29,2310,57.5,3060,86,,
90,0,840,4,1590,31,2340,58,3090,87,,
120,0.5,870,4,1620,32.5,2370,59,3120,88.5,,
150,0.8,900,5,1650,33,2400,60,3150,90,,
180,1,930,6.5,1680,34,2430,61.5,3180,91,,
210,1,960,8,1710,35.5,2460,63,3210,92,,
240,1,990,9.5,1740,36.5,2490,64,3240,93,,
270,1,1020,10,1770,38,2520,65.5,3270,94,,
300,1,1050,11,1800,39.5,2550,66,3300,95,,
330,1,1080,12,1830,40,2580,67,3330,96.5,,
360,1,1110,13,1860,41.5,2610,68,3360,97,,
390,1,1140,14,1890,42.5,2640,69,3390,98,,
420,1,1170,14.5,1920,44,2670,70.5,3420,99,,
450,1,1200,15,1950,45,2700,71,3450,99.5,,
480,1,1230,16,1980,46,2730,72.5,3480,100,,
510,1,1260,17,2010,47.5,2760,74,3510,100,,
540,1.5,1290,18.5,2040,48,2790,75,3540,100,,
570,1.5,1320,20,2070,49,2820,76.5,3570,100,,
600,1.5,1350,21.5,2100,50,2850,77.5,3600,100,,
630,2,1380,23,2130,51,2880,79,,,,
660,2,1410,24.5,2160,52,2910,80,,,,
690,2,1440,25,2190,53.5,2940,81,,,,
720,2,1470,26.5,2220,54,2970,82.5,,,,